aonde gastou,natureza do gasto,valor total,parcelas,no da parcela,valor unitário,tipo,comp,cartao,origem
PIX RECEBIDO MARIA ANGELA BERSANI CALI,Supermercado,-197,,,-197,Conta Corrente,,,base
PIX ENVIADO Andre Trabulsi Sadi,Supermercado,474,,,474,Conta Corrente,,,base
PIX ENVIADO Jose Roberto Tosco Alves,Cuidados Pessoais (Nutricionista / Medico / Suplemento),65,,,65,Conta Corrente,,,base
DEBITO AUT. CTA ENERGIA ELETRICA ENEL ENERGIA,Conta de luz,278.68,,,278.68,Conta Corrente,shared,,base
PIX ENVIADO Marcelle Valeska de Faria,Gastos com Diarista,600,,,600,Conta Corrente,shared,,base
PEDAGIO ELETRONICO - SEM PARAR SEM PARAR,Combustível/ Passagens/ Uber / Sem Parar,411.37,,,411.37,Conta Corrente,shared,,base
PIX ENVIADO Joao Calice Filho,Gastos com presentes,67,,,67,Conta Corrente,,,base
COMPRA CARTAO DEB MC 02/08 HAMB DO SEU OSVALDO,Restaurantes/ Bares/ Lanchonetes,63.5,,,63.5,Conta Corrente,,,base
PIX ENVIADO Maria Martha Natel,"Gastos com Educação (Inglês, MBA, Pós)",600,,,600,Conta Corrente,,,base
PIX RECEBIDO - DIF TIT SUL AMERICA SERVICOS DE S,Cuidados Pessoais (Nutricionista / Medico / Suplemento),-135,,,-135,Conta Corrente,,,base
IOF ADICIONAL - AUTOMATICO PERIODO: 01/07 A 31/07/24,Gastos pessoais,7.63,,,7.63,Conta Corrente,,,base
IOF IMPOSTO OPERACOES FINANCEIRAS PERIODO: 01/07 A 31/07/24,Gastos pessoais,0.16,,,0.16,Conta Corrente,,,base
Nespresso,Supermercado,16.2,,,16.2,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,9.55,,,9.55,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,14.35,,,14.35,Cartão de Crédito,shared,,base
Amazon Br,Gastos com presentes,179.96,,,179.96,Cartão de Crédito,,,base
Amazon Br (01/03),Gastos com casa (outros),170.25,3.0,1.0,170.25,Cartão de Crédito,shared,,base
Pet Love*Order 1048043,Gastos com Cachorro,258.41,,,258.41,Cartão de Crédito,shared,,base
Casasba*Casas Bahia (06/08),Gastos com casa (outros),140.59,8.0,6.0,140.59,Cartão de Crédito,shared,,base
Smiles Fidel*Txaemba(09/10),Viagens / Férias,73.84,10.0,9.0,73.84,Cartão de Crédito,shared,,base
Azul We*Fj6zjwcalice(09/10),Viagens / Férias,496.37,10.0,9.0,496.37,Cartão de Crédito,shared,,base
Pag*Autopostoberingi,Combustível/ Passagens/ Uber / Sem Parar,185.1,,,185.1,Cartão de Crédito,shared,,base
Posto Bizungao,Combustível/ Passagens/ Uber / Sem Parar,80,,,80,Cartão de Crédito,shared,,base
Posto Bizungao,Combustível/ Passagens/ Uber / Sem Parar,180.25,,,180.25,Cartão de Crédito,shared,,base
Pao De Acucar-0061,Supermercado,140.79,,,140.79,Cartão de Crédito,shared,,base
Leticia Akemi Yamada I,Supermercado,20,,,20,Cartão de Crédito,,,base
Pag*Genildacleonice,Supermercado,15,,,15,Cartão de Crédito,,,base
Pag*Marcelobanana,Supermercado,7.5,,,7.5,Cartão de Crédito,,,base
Pag*Petcentercomerci(02/03),Gastos com Cachorro,206.47,3.0,2.0,206.47,Cartão de Crédito,shared,,base
Nascimento Bateria (05/10),Carro (Manutenção/ IPVA/ Seguro),145,10.0,5.0,145,Cartão de Crédito,shared,,base
Bar E Restaurante Cuc,Restaurantes/ Bares/ Lanchonetes,214.15,,,214.15,Cartão de Crédito,,,base
Muza Restaurante,Restaurantes/ Bares/ Lanchonetes,261.04,,,261.04,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,3.5,,,3.5,Cartão de Crédito,,,base
Pag*Padariamirella,Gastos pessoais,48.9,,,48.9,Cartão de Crédito,,,base
Pag*Smartbreak,Gastos pessoais,16.99,,,16.99,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,13.59,,,13.59,Cartão de Crédito,,,base
Emilio Jorge Felix Mat,Supermercado,12,,,12,Cartão de Crédito,,,base
Zul Digital 1 Cartao Y,Combustível/ Passagens/ Uber / Sem Parar,6.36,,,6.36,Cartão de Crédito,,,base
Amazon Br,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",54.1,,,54.1,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,8.37,,,8.37,Cartão de Crédito,,,base
Pg *Medmanipulado Ce(01/02),Cuidados Pessoais (Nutricionista / Medico / Suplemento),228.5,2.0,1.0,228.5,Cartão de Crédito,,,base
Swift E-Commerce,Supermercado,228,,,228,Cartão de Crédito,,,base
Mortadella Ristorante,Restaurantes/ Bares/ Lanchonetes,177.24,,,177.24,Cartão de Crédito,,,base
Pag*Maderoburger,Restaurantes/ Bares/ Lanchonetes,10,,,10,Cartão de Crédito,,,base
Pag*Padariamirella,Gastos pessoais,12,,,12,Cartão de Crédito,,,base
Pao De Acucar-0061,Supermercado,36.57,,,36.57,Cartão de Crédito,,,base
Ifd*Gustavo Andrade Do,Restaurantes/ Bares/ Lanchonetes,2,,,2,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,16,,,16,Cartão de Crédito,,,base
Pag*Alessandrabianco,Restaurantes/ Bares/ Lanchonetes,10,,,10,Cartão de Crédito,,,base
Mabe Comercio De Alime,Restaurantes/ Bares/ Lanchonetes,376.51,,,376.51,Cartão de Crédito,,,base
Comercio De Pasteis Ki,Restaurantes/ Bares/ Lanchonetes,12,,,12,Cartão de Crédito,,,base
Pag*Padariamirella,Gastos pessoais,41,,,41,Cartão de Crédito,,,base
Pao De Acucar-0061,Supermercado,228.74,,,228.74,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,8.1,,,8.1,Cartão de Crédito,,,base
Pag*Juliocesarcaetano,Restaurantes/ Bares/ Lanchonetes,15,,,15,Cartão de Crédito,,,base
Carapreta (01/02),Restaurantes/ Bares/ Lanchonetes,456.95,2.0,1.0,456.95,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,8.9,,,8.9,Cartão de Crédito,,,base
Mabe Comercio De Alime,Restaurantes/ Bares/ Lanchonetes,125,,,125,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,11.6,,,11.6,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,12.33,,,12.33,Cartão de Crédito,,,base
Bar E Lanches Mariza,Gastos pessoais,17,,,17,Cartão de Crédito,,,base
Beneton,Restaurantes/ Bares/ Lanchonetes,60,,,60,Cartão de Crédito,,,base
Zig*Areia Malibu,Restaurantes/ Bares/ Lanchonetes,699.3,,,699.3,Cartão de Crédito,,,base
Mp *Lavembebe,Gastos com presentes,100.64,,,100.64,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,10.26,,,10.26,Cartão de Crédito,,,base
Ifd*Nestle Brasil Ltda,Restaurantes/ Bares/ Lanchonetes,88.99,,,88.99,Cartão de Crédito,,,base
Ice E Burguer,Restaurantes/ Bares/ Lanchonetes,7,,,7,Cartão de Crédito,,,base
Zp *Alig Invisalign (01/18),Cuidados Pessoais (Nutricionista / Medico / Suplemento),245.26,18.0,1.0,245.26,Cartão de Crédito,,,base
Pag*Padariamirella,Gastos pessoais,8,,,8,Cartão de Crédito,,,base
Pg *Bio2 Store (03/03),Cuidados Pessoais (Nutricionista / Medico / Suplemento),142.4,3.0,3.0,142.4,Cartão de Crédito,,,base
Woodlouse (01/02),Casamento,5376.53,2.0,1.0,5376.53,Cartão de Crédito,,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,10.83,,,10.83,Cartão de Crédito,,,base
Drogasil1148,Farmácia,278.1,,,278.1,Cartão de Crédito,,,base
Garpelli Stop 120 Ltda,Gastos pessoais,5.5,,,5.5,Cartão de Crédito,,,base
Cg - Cafehaus,Restaurantes/ Bares/ Lanchonetes,89,,,89,Cartão de Crédito,,,base
Oktos,Restaurantes/ Bares/ Lanchonetes,40,,,40,Cartão de Crédito,,,base
Pag*Parrillerocortes,Restaurantes/ Bares/ Lanchonetes,47,,,47,Cartão de Crédito,,,base
Pao De Acucar-0061,Supermercado,91.79,,,91.79,Cartão de Crédito,,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,24.6,,,24.6,Cartão de Crédito,,,base
Raphael Tricarico (01/05),Cuidados Pessoais (Nutricionista / Medico / Suplemento),440,5.0,1.0,440,Cartão de Crédito,,,base
Otica Carol (08/10),Gastos pessoais,390,10.0,8.0,390,Cartão de Crédito,,,base
PIX ENVIADO Laerth de Jesus Bernardo,Gastos pessoais,10,,,10,Conta Corrente,,,base
TED ENVIADA 104-2926-000000284660,Financiamento/Condominio,5100,,,5100,Conta Corrente,shared,,base
PIX RECEBIDO - DIF TIT SUL AMERICA SERVICOS DE S,Cuidados Pessoais (Nutricionista / Medico / Suplemento),-630,,,-630,Conta Corrente,,,base
PIX RECEBIDO 260/0001/0000000565205221,Futevolei,-345.6,,,-345.6,Conta Corrente,,,base
PIX ENVIADO Renato Dias Silva,Gastos pessoais,10.88,,,10.88,Conta Corrente,,,base
DEBITO AUT. CONTA GAS COMGAS,Conta de gás,140.54,,,140.54,Conta Corrente,shared,,base
PIX ENVIADO Ricardo Kaiichi do Nascim,Gastos pessoais,320,,,320,Conta Corrente,,,base
PIX RECEBIDO EDUARDO PAES CANDEIAS,Restaurantes/ Bares/ Lanchonetes,-20.06,,,-20.06,Conta Corrente,,,base
PAGAMENTO DE BOLETO OUTROS BANCOS ZANGARI GESTAO DE SERVICO,Moradia (Financiamento/ Aluguel/ Condominio),1206.49,,,1206.49,Conta Corrente,shared,,base
DEBITO AUT. CTA ENERGIA ELETRICA ENEL ENERGIA,Conta de luz,144.96,,,144.96,Conta Corrente,shared,,base
PIX ENVIADO Growth Supplements Prod A,Cuidados Pessoais (Nutricionista / Medico / Suplemento),436.5,,,436.5,Conta Corrente,,,base
PIX RECEBIDO MARCELO CEZAR RIBAS DA CO,Restaurantes/ Bares/ Lanchonetes,-110,,,-110,Conta Corrente,,,base
PIX RECEBIDO RODRIGO SABINO MARTINS,Restaurantes/ Bares/ Lanchonetes,-220,,,-220,Conta Corrente,,,base
PIX RECEBIDO - DIF TIT FELIPE XERFAN ARAKELIAN,Restaurantes/ Bares/ Lanchonetes,-220,,,-220,Conta Corrente,,,base
PIX RECEBIDO MICAEL XERFAN ARAKELIAN,Restaurantes/ Bares/ Lanchonetes,-220,,,-220,Conta Corrente,,,base
PIX RECEBIDO 260/0001/0000000565205221,Futevolei,-2380,,,-2380,Conta Corrente,,,base
PGTO TRIBUTOS MUNICIPAIS-CANAIS 00336496000900003219,Moradia (Financiamento/ Aluguel/ Condominio),446.18,,,446.18,Conta Corrente,shared,,base
PGTO TRIBUTOS MUNICIPAIS-CANAIS 00336496000900003219,Moradia (Financiamento/ Aluguel/ Condominio),495.87,,,495.87,Conta Corrente,shared,,base
PGTO TRIBUTOS MUNICIPAIS-CANAIS 00336496000900003219,Moradia (Financiamento/ Aluguel/ Condominio),515.01,,,515.01,Conta Corrente,shared,,base
PGTO TRIBUTOS MUNICIPAIS-CANAIS 00336496000900003219,Moradia (Financiamento/ Aluguel/ Condominio),520.8,,,520.8,Conta Corrente,shared,,base
PGTO TRIBUTOS MUNICIPAIS-CANAIS 00336496000900003219,Moradia (Financiamento/ Aluguel/ Condominio),530.17,,,530.17,Conta Corrente,shared,,base
PIX RECEBIDO - DIF TIT SUL AMERICA SERVICOS DE S,Cuidados Pessoais (Nutricionista / Medico / Suplemento),-400.05,,,-400.05,Conta Corrente,,,base
PEDAGIO ELETRONICO - SEM PARAR SEM PARAR,Combustível/ Passagens/ Uber / Sem Parar,301.17,,,301.17,Conta Corrente,shared,,base
PIX ENVIADO Felipe Chamon Simi,Cuidados Pessoais (Nutricionista / Medico / Suplemento),500,,,500,Conta Corrente,,,base
PIX ENVIADO Carolina Felaco,Gastos pessoais,22,,,22,Conta Corrente,,,base
PIX RECEBIDO 260/0001/0000000565205221,Futevolei,-699.3,,,-699.3,Conta Corrente,,,base
PIX RECEBIDO ALINE IVANOV DE SOUSA,Casamento,-12450,,,-12450,Conta Corrente,shared,,base
Netflix Entretenimento,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",39.9,,,39.9,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,18,,,18,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,15.2,,,15.2,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,12.4,,,12.4,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,14,,,14,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,30.8,,,30.8,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,25.2,,,25.2,Cartão de Crédito,shared,,base
Pop 07jun 06h32min,Combustível/ Passagens/ Uber / Sem Parar,20.99,,,20.99,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,24.8,,,24.8,Cartão de Crédito,shared,,base
Casasba*Casas Bahia (05/08),Gastos com casa (outros),140.59,8.0,5.0,140.59,Cartão de Crédito,shared,,base
Smiles Fidel*Txaemba(08/10),Viagens / Férias,73.84,10.0,8.0,73.84,Cartão de Crédito,shared,,base
Azul We*Fj6zjwcalice(08/10),Viagens / Férias,496.37,10.0,8.0,496.37,Cartão de Crédito,shared,,base
Esfera (08/10),Viagens / Férias,794.5,10.0,8.0,794.5,Cartão de Crédito,shared,,base
Pao De Acucar-0061,Supermercado,167.43,,,167.43,Cartão de Crédito,shared,,base
Mercadolivre*4produto,Gastos com casa (outros),154.2,,,154.2,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,1,,,1,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,25.08,,,25.08,Cartão de Crédito,shared,,base
Bupbaby,Gastos com presentes,299.7,,,299.7,Cartão de Crédito,shared,,base
Taxilourdesa,Combustível/ Passagens/ Uber / Sem Parar,32,,,32,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,33.85,,,33.85,Cartão de Crédito,shared,,base
Il Fornaio D Italia,Restaurantes/ Bares/ Lanchonetes,507,,,507,Cartão de Crédito,shared,,base
Pag*Petcentercomerci(01/03),Gastos com Cachorro,206.48,3.0,1.0,206.48,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,13.95,,,13.95,Cartão de Crédito,shared,,base
Pag*Petcentercomercio,Gastos com Cachorro,109.99,,,109.99,Cartão de Crédito,shared,,base
Berlinf*Potenza Bandei,Combustível/ Passagens/ Uber / Sem Parar,155.81,,,155.81,Cartão de Crédito,shared,,base
Constance Alimentos,Restaurantes/ Bares/ Lanchonetes,319.4,,,319.4,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,20.78,,,20.78,Cartão de Crédito,shared,,base
Nascimento Bateria (04/10),Carro (Manutenção/ IPVA/ Seguro),145,10.0,4.0,145,Cartão de Crédito,shared,,base
Zig*Areia Malibu,Restaurantes/ Bares/ Lanchonetes,24,,,24,Cartão de Crédito,,,base
Casa Finestra,Restaurantes/ Bares/ Lanchonetes,36,,,36,Cartão de Crédito,,,base
Casa Finestra,Restaurantes/ Bares/ Lanchonetes,18,,,18,Cartão de Crédito,,,base
Pag*Padariamirella,Gastos pessoais,30,,,30,Cartão de Crédito,,,base
Pop 18jun 22h54min,Combustível/ Passagens/ Uber / Sem Parar,39.2,,,39.2,Cartão de Crédito,,,base
Pag*Zig,Restaurantes/ Bares/ Lanchonetes,75.6,,,75.6,Cartão de Crédito,,,base
Ifd*Frp Express,Restaurantes/ Bares/ Lanchonetes,2,,,2,Cartão de Crédito,,,base
Unicef,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",60.75,,,60.75,Cartão de Crédito,,,base
Ifd*Ttlf Bar E Restaur,Restaurantes/ Bares/ Lanchonetes,230.5,,,230.5,Cartão de Crédito,,,base
Carapreta,Gastos com casa (outros),252.8,,,252.8,Cartão de Crédito,,,base
Areia Esportes,Futevolei,2550,,,2550,Cartão de Crédito,,,base
Pag*Dsparckservicosde,Combustível/ Passagens/ Uber / Sem Parar,30,,,30,Cartão de Crédito,,,base
Diboa Tabacaria,Gastos pessoais,5,,,5,Cartão de Crédito,,,base
Diboa Tabacaria,Gastos pessoais,40,,,40,Cartão de Crédito,,,base
Mabe Comercio De Alime,Restaurantes/ Bares/ Lanchonetes,220.61,,,220.61,Cartão de Crédito,,,base
Ifd*53 624 079 Victor,Restaurantes/ Bares/ Lanchonetes,36.48,,,36.48,Cartão de Crédito,,,base
Pag*Zig,Restaurantes/ Bares/ Lanchonetes,37.8,,,37.8,Cartão de Crédito,,,base
Pag*Zig,Restaurantes/ Bares/ Lanchonetes,18.9,,,18.9,Cartão de Crédito,,,base
Pag*Zig,Restaurantes/ Bares/ Lanchonetes,49.5,,,49.5,Cartão de Crédito,,,base
Pag*Zig,Restaurantes/ Bares/ Lanchonetes,5.4,,,5.4,Cartão de Crédito,,,base
Metropole Ii,Gastos pessoais,24,,,24,Cartão de Crédito,,,base
O Jardim Cafe E Brunch,Restaurantes/ Bares/ Lanchonetes,110.02,,,110.02,Cartão de Crédito,,,base
Ifd*Cesars Alimentacao,Restaurantes/ Bares/ Lanchonetes,123.29,,,123.29,Cartão de Crédito,,,base
Espirito Santo,Restaurantes/ Bares/ Lanchonetes,387.38,,,387.38,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,21,,,21,Cartão de Crédito,,,base
Nespresso,Supermercado,6.2,,,6.2,Cartão de Crédito,,,base
F5 Park Estacionamento,Combustível/ Passagens/ Uber / Sem Parar,10,,,10,Cartão de Crédito,,,base
Pag*Strawberrylojasde,Gastos pessoais,9.99,,,9.99,Cartão de Crédito,,,base
Areia Esportes,Futevolei,2300,,,2300,Cartão de Crédito,,,base
Pag*Zig,Restaurantes/ Bares/ Lanchonetes,28.8,,,28.8,Cartão de Crédito,,,base
Pag*Zig,Restaurantes/ Bares/ Lanchonetes,10,,,10,Cartão de Crédito,,,base
Pag*Zig,Restaurantes/ Bares/ Lanchonetes,49,,,49,Cartão de Crédito,,,base
Areia Esportes,Futevolei,240,,,240,Cartão de Crédito,,,base
Bar Do Juarez,Restaurantes/ Bares/ Lanchonetes,91.79,,,91.79,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,26.4,,,26.4,Cartão de Crédito,,,base
Taxi 23mai 08h17min,Combustível/ Passagens/ Uber / Sem Parar,20.4,,,20.4,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,2,,,2,Cartão de Crédito,,,base
Pg *Bio2 Store (02/03),Supermercado,142.4,3.0,2.0,142.4,Cartão de Crédito,,,base
Af Intern0231529068 (04/04),Viagens / Férias,1494.96,4.0,4.0,1494.96,Cartão de Crédito,,,base
Pao De Acucar-0061,Supermercado,215.41,,,215.41,Cartão de Crédito,,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,30.62,,,30.62,Cartão de Crédito,,,base
Bolao Beach Tennis,Restaurantes/ Bares/ Lanchonetes,36,,,36,Cartão de Crédito,,,base
Ladeira Bar,Restaurantes/ Bares/ Lanchonetes,114.4,,,114.4,Cartão de Crédito,,,base
Pao De Acucar-0061,Supermercado,125.36,,,125.36,Cartão de Crédito,,,base
Evento Festa Junina Es,Restaurantes/ Bares/ Lanchonetes,95,,,95,Cartão de Crédito,,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,10.96,,,10.96,Cartão de Crédito,,,base
Pao De Acucar-0061,Supermercado,115.36,,,115.36,Cartão de Crédito,,,base
Oxxo Princesa Isabel,Gastos pessoais,57.97,,,57.97,Cartão de Crédito,,,base
Drogasil1148,Farmácia,112.36,,,112.36,Cartão de Crédito,,,base
Papaiz Ibirapuera (02/02),Cuidados Pessoais (Nutricionista / Medico / Suplemento),135,2.0,2.0,135,Cartão de Crédito,,,base
Pousada Alapage Ltda(03/03),Viagens / Férias,317.47,3.0,3.0,317.47,Cartão de Crédito,,,base
Reserva Spiguatemi (03/03),Gastos pessoais,223,3.0,3.0,223,Cartão de Crédito,,,base
Einstein Jardins (06/06),Cuidados Pessoais (Nutricionista / Medico / Suplemento),250.94,6.0,6.0,250.94,Cartão de Crédito,,,base
Otica Carol (07/10),Cuidados Pessoais (Nutricionista / Medico / Suplemento),390,10.0,7.0,390,Cartão de Crédito,,,base
PIX ENVIADO Andre Trabulsi Sadi,Restaurantes/ Bares/ Lanchonetes,170,,,,Conta Corrente,,,base
PIX RECEBIDO Francisco Jose Puyol,Viagens / Férias,-315,,,-315,Conta Corrente,,,base
PIX ENVIADO WISE BRASIL CORRETORA DE,Viagens / Férias,314.75,,,314.75,Conta Corrente,,,base
PIX ENVIADO WISE BRASIL CORRETORA DE,Viagens / Férias,325.48,,,325.48,Conta Corrente,,,base
DEBITO AUT. CONTA GAS COMGAS,Conta de gás,100.11,,,100.11,Conta Corrente,shared,,base
TED ENVIADA CANAIS 102-0001-000000240049,Financiamento/Condominio,4758,,,4758,Conta Corrente,shared,,base
TED ENVIADA Aline Ivanov de Sousa,Casamento,22578,,,22578,Conta Corrente,shared,,base
PIX RECEBIDO 260/0001/0000000565205221,Futevolei,-2145,,,-2145,Conta Corrente,,,base
DEBITO AUT. CTA ENERGIA ELETRICA ENEL ENERGIA,Conta de luz,263.67,,,263.67,Conta Corrente,shared,,base
PIX RECEBIDO RICARDO MARTINS,Restaurantes/ Bares/ Lanchonetes,-45,,,-45,Conta Corrente,,,base
PAGAMENTO DE BOLETO OUTROS BANCOS ZANGARI GESTAO DE SERVICO,Moradia (Financiamento/ Aluguel/ Condominio),1279.54,,,1279.54,Conta Corrente,shared,,base
PIX RECEBIDO GUILHERME BERINGHS RIO,Restaurantes/ Bares/ Lanchonetes,-82,,,-82,Conta Corrente,,,base
PIX ENVIADO Marcelle Valeska de Faria,Gastos com Diarista,800,,,800,Conta Corrente,shared,,base
PEDAGIO ELETRONICO - SEM PARAR SEM PARAR,Combustível/ Passagens/ Uber / Sem Parar,319.77,,,319.77,Conta Corrente,shared,,base
PIX ENVIADO Carlos Roberto Pereira Ju,Obra casa,2500,,,2500,Conta Corrente,shared,,base
PIX ENVIADO Francisco Jose Puyol,Restaurantes/ Bares/ Lanchonetes,70,,,70,Conta Corrente,,,base
Pop 17mai 12h24min,Combustível/ Passagens/ Uber / Sem Parar,19.46,,,19.46,Cartão de Crédito,shared,,base
Netflix Com,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",39.9,,,39.9,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,26.4,,,26.4,Cartão de Crédito,shared,,base
Claro Pgto Fatu Mensal,Planos de celular,294.56,,,294.56,Cartão de Crédito,shared,,base
Casasba*Casas Bahia (04/08),Gastos com casa (outros),140.59,8.0,4.0,140.59,Cartão de Crédito,shared,,base
Smiles Fidel*Txaemba(07/10),Viagens / Férias,73.84,10.0,7.0,73.84,Cartão de Crédito,shared,,base
Azul We*Fj6zjwcalice(07/10),Viagens / Férias,496.37,10.0,7.0,496.37,Cartão de Crédito,shared,,base
Esfera (07/10),Viagens / Férias,794.5,10.0,7.0,794.5,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,29.95,,,29.95,Cartão de Crédito,shared,,base
Pao De Acucar-0061,Supermercado,194.82,,,194.82,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,15.18,,,15.18,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,25.23,,,25.23,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,14.19,,,14.19,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,19.42,,,19.42,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,25.62,,,25.62,Cartão de Crédito,shared,,base
Eco Posto Bandeirantes,Combustível/ Passagens/ Uber / Sem Parar,168.95,,,168.95,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,24.96,,,24.96,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,26.9,,,26.9,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,25.76,,,25.76,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,27.54,,,27.54,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,16.97,,,16.97,Cartão de Crédito,shared,,base
Mister Plus Automotivo,Combustível/ Passagens/ Uber / Sem Parar,150.31,,,150.31,Cartão de Crédito,shared,,base
Cocoverde,Gastos com casa (outros),10,,,10,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,28.41,,,28.41,Cartão de Crédito,shared,,base
Ec Pinheiros Restauran,Restaurantes/ Bares/ Lanchonetes,88,,,88,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,24.94,,,24.94,Cartão de Crédito,shared,,base
Lego,Gastos com presentes,249.99,,,249.99,Cartão de Crédito,shared,,base
Mercadolivre*Novuscom,Gastos com casa (outros),178,,,178,Cartão de Crédito,shared,,base
Pao De Acucar-0061,Supermercado,308.81,,,308.81,Cartão de Crédito,shared,,base
Mg Park,Combustível/ Passagens/ Uber / Sem Parar,30,,,30,Cartão de Crédito,shared,,base
Toyoca Ltda,Gastos com presentes,239.9,,,239.9,Cartão de Crédito,shared,,base
Balcone,Restaurantes/ Bares/ Lanchonetes,474.6,,,474.6,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,36.46,,,36.46,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,24.2,,,24.2,Cartão de Crédito,shared,,base
Uber *Uber *Trip,Combustível/ Passagens/ Uber / Sem Parar,4.88,,,4.88,Cartão de Crédito,shared,,base
Nascimento Bateria (03/10),Carro (Manutenção/ IPVA/ Seguro),145,10.0,3.0,145,Cartão de Crédito,shared,,base
Pag*Zig,Restaurantes/ Bares/ Lanchonetes,9,,,9,Cartão de Crédito,,,base
Mtks Joias Vehr,Gastos com presentes,270,,,270,Cartão de Crédito,,,base
Mabe Comercio De Alime,Restaurantes/ Bares/ Lanchonetes,276.18,,,276.18,Cartão de Crédito,,,base
Swift E-Commerce,Supermercado,312.98,,,312.98,Cartão de Crédito,,,base
Pag*Zig,Restaurantes/ Bares/ Lanchonetes,36,,,36,Cartão de Crédito,,,base
Forno Da Pino,Restaurantes/ Bares/ Lanchonetes,289.28,,,289.28,Cartão de Crédito,,,base
Alo Bebe 1071,Gastos com presentes,139.9,,,139.9,Cartão de Crédito,,,base
